van_county,van_precinct_name,folder,list_name
Centre,01-Bellefonte North  Ward 1,R15_091_Bellefonte_Doors,GOTV_Centre_01-Bellefonte N Wd 1
Centre,02-Bellefonte Northeast         Ward-1,R15_091_Bellefonte_Doors,GOTV_Centre_02-Bellefonte NE Wd-1
Centre,03-Bellefonte South               Ward-2,R15_091_Bellefonte_Doors,GOTV_Centre_03-Bellefonte S Wd-2
Centre,04-Bellefonte Southeast           Ward-2,R15_091_Bellefonte_Doors,GOTV_Centre_04-Bellefonte SE Wd-2
Centre,05-Bellefonte. West            Ward-3,R15_091_Bellefonte_Doors,GOTV_Centre_05-Bellefonte. W Wd-3
Centre,06-Centre Hall Boro.,R15_091_Bellefonte_Doors,GOTV_Centre_06-Centre Hall Boro
Centre,07-Howard Boro.,R15_091_Bellefonte_Doors,GOTV_Centre_07-Howard Boro
Centre,08-Milesburg Boro.,R15_091_Bellefonte_Doors,GOTV_Centre_08-Milesburg Boro
Centre,09-Millheim Boro.,R15_091_Bellefonte_Doors,GOTV_Centre_09-Millheim Boro
Centre,10-Philipsburg 1st.. Ward,R15_094_State College_Doors,GOTV_Centre_10-Philipsburg 1st.. Wd
Centre,11-Philipsburg 2nd. Ward,R15_094_State College_Doors,GOTV_Centre_11-Philipsburg 2nd. Wd
Centre,12-Philipsburg 3rd. Ward,R15_094_State College_Doors,GOTV_Centre_12-Philipsburg 3rd. Wd
Centre,16-State College North,R15_094_State College_Doors,GOTV_Centre_16-State College N
Centre,17-State College Northeast,R15_094_State College_Doors,GOTV_Centre_17-State College NE
Centre,18-State College Northwest,R15_094_State College_Doors,GOTV_Centre_18-State College NW
Centre,19-State College South-1,R15_094_State College_Doors,GOTV_Centre_19-State College S-1
Centre,20-State College South-2,R15_094_State College_Doors,GOTV_Centre_20-State College S-2
Centre,21-State College Southeast,R15_094_State College_Doors,GOTV_Centre_21-State College SE
Centre,22-State College. South Central-1,R15_094_State College_Doors,GOTV_Centre_22-Ste Clg S Central-1
Centre,23-State College South Central-2,R15_094_State College_Doors,GOTV_Centre_23-Ste Clg S Central-2
Centre,24-Psu,R15_094_State College_Doors,GOTV_Centre_24-Psu
Centre,26 State College  East-3,R15_094_State College_Doors,GOTV_Centre_26 State College E-3
Centre,29-State College  East Central-2,R15_094_State College_Doors,GOTV_Centre_29-Ste Clg E Central-2
Centre,30-State College  East Central-3,R15_094_State College_Doors,GOTV_Centre_30-Ste Clg E Central-3
Centre,31-State College West-1,R15_094_State College_Doors,GOTV_Centre_31-State College W-1
Centre,32-State College West-2,R15_094_State College_Doors,GOTV_Centre_32-State College W-2
Centre,34-State College West Central-2,R15_094_State College_Doors,GOTV_Centre_34-Ste Clg W Central-2
Centre,36-Benner Twp. North,R15_094_State College_Doors,GOTV_Centre_36-Benner Twp N
Centre,37-Benner Twp. South,R15_094_State College_Doors,GOTV_Centre_37-Benner Twp S
Centre,39-Boggs Twp. West,R15_091_Bellefonte_Doors,GOTV_Centre_39-Boggs Twp W
Centre,41-College Twp. North,R15_094_State College_Doors,GOTV_Centre_41-College Twp N
Centre,42-College Twp. South,R15_094_State College_Doors,GOTV_Centre_42-College Twp S
Centre,43-College Twp. East,R15_094_State College_Doors,GOTV_Centre_43-College Twp E
Centre,44-2 College Twp. West Psu,R15_094_State College_Doors,GOTV_Centre_44-2 College Twp W Psu
Centre,44-College Twp. West,R15_094_State College_Doors,GOTV_Centre_44-College Twp W
Centre,47-Ferg. Twp. North-1       Ward-2,R15_094_State College_Doors,GOTV_Centre_47-Ferg. Twp N-1 Wd-2
Centre,48-Ferg. Twp. North-2         Ward-2,R15_094_State College_Doors,GOTV_Centre_48-Ferg. Twp N-2 Wd-2
Centre,49-Ferg.Twp. Northeast-1       Ward-3,R15_094_State College_Doors,GOTV_Centre_49-Ferg.Twp NE-1 Wd-3
Centre,50-Ferg.Twp. Northeast-2    Ward-3,R15_094_State College_Doors,GOTV_Centre_50-Ferg.Twp NE-2 Wd-3
Centre,51-Ferg. Twp. East          Ward-1,R15_094_State College_Doors,GOTV_Centre_51-Ferg. Twp E Wd-1
